0.1,0.1,0.25
0.1,0.1,0.5
0.1,0.1,0.75
0.1,0.1,1
0.1,0.1,1.25
0.1,0.1,1.5
0.3,0.1,0.25
0.3,0.1,0.5
0.3,0.1,0.75
0.3,0.1,1
0.3,0.1,1.25
0.3,0.1,1.5
0.5,0.1,0.25
0.5,0.1,0.5
0.5,0.1,0.75
0.5,0.1,1
0.5,0.1,1.25
0.5,0.1,1.5
0.7,0.1,0.25
0.7,0.1,0.5
0.7,0.1,0.75
0.7,0.1,1
0.7,0.1,1.25
0.7,0.1,1.5
0.1,0.3,0.25
0.1,0.3,0.5
0.1,0.3,0.75
0.1,0.3,1
0.1,0.3,1.25
0.1,0.3,1.5
0.3,0.3,0.25
0.3,0.3,0.5
0.3,0.3,0.75
0.3,0.3,1
0.3,0.3,1.25
0.3,0.3,1.5
0.5,0.3,0.25
0.5,0.3,0.5
0.5,0.3,0.75
0.5,0.3,1
0.5,0.3,1.25
0.5,0.3,1.5
0.7,0.3,0.25
0.7,0.3,0.5
0.7,0.3,0.75
0.7,0.3,1
0.7,0.3,1.25
0.7,0.3,1.5
0.1,0.5,0.25
0.1,0.5,0.5
0.1,0.5,0.75
0.1,0.5,1
0.1,0.5,1.25
0.1,0.5,1.5
0.3,0.5,0.25
0.3,0.5,0.5
0.3,0.5,0.75
0.3,0.5,1
0.3,0.5,1.25
0.3,0.5,1.5
0.5,0.5,0.25
0.5,0.5,0.5
0.5,0.5,0.75
0.5,0.5,1
0.5,0.5,1.25
0.5,0.5,1.5
0.7,0.5,0.25
0.7,0.5,0.5
0.7,0.5,0.75
0.7,0.5,1
0.7,0.5,1.25
0.7,0.5,1.5
0.1,0.7,0.25
0.1,0.7,0.5
0.1,0.7,0.75
0.1,0.7,1
0.1,0.7,1.25
0.1,0.7,1.5
0.3,0.7,0.25
0.3,0.7,0.5
0.3,0.7,0.75
0.3,0.7,1
0.3,0.7,1.25
0.3,0.7,1.5
0.5,0.7,0.25
0.5,0.7,0.5
0.5,0.7,0.75
0.5,0.7,1
0.5,0.7,1.25
0.5,0.7,1.5
0.7,0.7,0.25
0.7,0.7,0.5
0.7,0.7,0.75
0.7,0.7,1
0.7,0.7,1.25
0.7,0.7,1.5
0.1,0.9,0.25
0.1,0.9,0.5
0.1,0.9,0.75
0.1,0.9,1
0.1,0.9,1.25
0.1,0.9,1.5
0.3,0.9,0.25
0.3,0.9,0.5
0.3,0.9,0.75
0.3,0.9,1
0.3,0.9,1.25
0.3,0.9,1.5
0.5,0.9,0.25
0.5,0.9,0.5
0.5,0.9,0.75
0.5,0.9,1
0.5,0.9,1.25
0.5,0.9,1.5
0.7,0.9,0.25
0.7,0.9,0.5
0.7,0.9,0.75
0.7,0.9,1
0.7,0.9,1.25
0.7,0.9,1.5
0.1,1.1,0.25
0.1,1.1,0.5
0.1,1.1,0.75
0.1,1.1,1
0.1,1.1,1.25
0.1,1.1,1.5
0.3,1.1,0.25
0.3,1.1,0.5
0.3,1.1,0.75
0.3,1.1,1
0.3,1.1,1.25
0.3,1.1,1.5
0.5,1.1,0.25
0.5,1.1,0.5
0.5,1.1,0.75
0.5,1.1,1
0.5,1.1,1.25
0.5,1.1,1.5
0.7,1.1,0.25
0.7,1.1,0.5
0.7,1.1,0.75
0.7,1.1,1
0.7,1.1,1.25
0.7,1.1,1.5
